GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
48001,2000,Anderson County,Texas,55109.0,16.47,4082.0,26.04,456.0,31957.0,58900.0,24.3,63.08,23.4,12.17,0.24,0.44,0.01,0.63,0.02,,,,,0,0,0
48001,2001,Anderson County,Texas,55109.0,16.47,4152.0,26.04,456.0,31957.0,58900.0,24.3,63.08,23.4,12.17,0.24,0.44,0.01,0.63,0.02,,,,,0,0,0
48001,2002,Anderson County,Texas,55109.0,16.47,4223.0,26.04,456.0,31957.0,58900.0,24.3,63.08,23.4,12.17,0.24,0.44,0.01,0.63,0.02,,,,,0,0,0
48001,2003,Anderson County,Texas,55109.0,16.47,4293.0,26.04,456.0,31957.0,58900.0,24.3,63.08,23.4,12.17,0.24,0.44,0.01,0.63,0.02,,,,,0,0,0
48001,2004,Anderson County,Texas,55109.0,16.47,4364.0,26.04,456.0,31957.0,58900.0,24.3,63.08,23.4,12.17,0.24,0.44,0.01,0.63,0.02,,,,,0,0,0
48001,2005,Anderson County,Texas,56575.0,12.21,4434.0,28.31,635.0,39355.0,74300.0,29.4,61.87,22.03,13.97,0.28,0.71,0.14,1.0,0.0,,,,,0,0,0
48001,2006,Anderson County,Texas,56575.0,12.21,4504.0,28.31,635.0,39355.0,74300.0,29.4,61.87,22.03,13.97,0.28,0.71,0.14,1.0,0.0,,,,,0,0,0
48001,2007,Anderson County,Texas,56575.0,12.21,4575.0,28.31,635.0,39355.0,74300.0,29.4,61.87,22.03,13.97,0.28,0.71,0.14,1.0,0.0,,,,,0,0,0
48001,2008,Anderson County,Texas,56575.0,12.21,4645.0,28.31,635.0,39355.0,74300.0,29.4,61.87,22.03,13.97,0.28,0.71,0.14,1.0,0.0,,,,,0,0,0
48001,2009,Anderson County,Texas,56575.0,12.21,4716.0,28.31,635.0,39355.0,74300.0,29.4,61.87,22.03,13.97,0.28,0.71,0.14,1.0,0.0,,,,,0,0,0
48001,2010,Anderson County,Texas,58458.0,15.05,4786.0,27.8,695.0,41471.0,80600.0,30.9,61.23,20.91,15.89,0.33,0.48,0.03,1.08,0.06,,,,,0,0,0
48001,2011,Anderson County,Texas,57915.0,14.85,4862.0,29.55,721.0,41327.0,83000.0,29.2,60.15,21.13,16.83,0.4,0.61,0.02,0.85,0.0,,,,,0,0,0
48001,2012,Anderson County,Texas,57915.0,14.85,4939.0,29.55,721.0,41327.0,83000.0,29.2,60.15,21.13,16.83,0.4,0.61,0.02,0.85,0.0,,,,,0,0,0
48001,2013,Anderson County,Texas,57915.0,14.85,5015.0,29.55,721.0,41327.0,83000.0,29.2,60.15,21.13,16.83,0.4,0.61,0.02,0.85,0.0,,,,,0,0,0
48001,2014,Anderson County,Texas,57915.0,14.85,5091.0,29.55,721.0,41327.0,83000.0,29.2,60.15,21.13,16.83,0.4,0.61,0.02,0.85,0.0,,,,,0,0,0
48001,2015,Anderson County,Texas,57915.0,14.85,5168.0,29.55,721.0,41327.0,83000.0,29.2,60.15,21.13,16.83,0.4,0.61,0.02,0.85,0.0,,,,,0,0,0
48001,2016,Anderson County,Texas,57915.0,14.85,5244.0,29.55,721.0,41327.0,83000.0,29.2,60.15,21.13,16.83,0.4,0.61,0.02,0.85,0.0,,,,,0,0,0
48003,2000,Andrews County,Texas,13004.0,16.42,936.0,20.34,397.0,34036.0,42500.0,19.1,56.31,1.5,40.0,0.49,0.68,0.02,0.91,0.1,5.0,5.0,0.53,0.53,0,0,0
